,Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
76,2021-05-14 09:19:00,32652.85,33400,6,BANKNIFTY20MAY2133400CE,159.15,77.5,2021-05-14 15:15:00,BANKNIFTY20MAY2131600PE,150.85,196.105,2021-05-14 09:25:00,36.39500000000001
77,2021-05-17 09:19:00,32539.35,33000,3,BANKNIFTY20MAY2133000CE,159.4,207.22,2021-05-17 09:33:00,BANKNIFTY20MAY2131900PE,161.45,43.5,2021-05-17 15:15:00,70.13
78,2021-05-18 09:19:00,34100.55,34600,2,BANKNIFTY20MAY2134600CE,141.0,183.3,2021-05-18 09:28:00,BANKNIFTY20MAY2133500PE,160.75,160.75,2021-05-18 09:34:00,-42.30000000000001
79,2021-05-19 09:19:00,33813.05,34000,1,BANKNIFTY20MAY2134000CE,146.4,190.32,2021-05-19 09:27:00,BANKNIFTY20MAY2133500PE,160.1,160.1,2021-05-19 10:32:00,-43.91999999999999
80,2021-05-20 09:19:00,33835.05,33800,0,BANKNIFTY20MAY2133800CE,133.6,0.45,2021-05-20 15:15:00,BANKNIFTY20MAY2133800PE,154.3,200.59,2021-05-20 09:28:00,86.86000000000001
81,2021-05-21 09:19:00,33784.15,34600,6,BANKNIFTY27MAY2134600CE,149.75,194.675,2021-05-21 09:38:00,BANKNIFTY27MAY2132900PE,157.15,52.25,2021-05-21 15:15:00,59.974999999999994
82,2021-05-24 09:19:00,35085.0,35900,3,BANKNIFTY27MAY2135900CE,143.0,143.0,2021-05-24 14:47:00,BANKNIFTY27MAY2134300PE,152.95,198.83499999999998,2021-05-24 09:29:00,-45.88499999999999
83,2021-05-25 09:19:00,34961.95,35500,2,BANKNIFTY27MAY2135500CE,159.85,65.4,2021-05-25 15:15:00,BANKNIFTY27MAY2134300PE,138.85,180.505,2021-05-25 11:11:00,52.79499999999999
84,2021-05-26 09:19:00,34570.0,34900,1,BANKNIFTY27MAY2134900CE,138.75,180.375,2021-05-26 10:24:00,BANKNIFTY27MAY2134200PE,138.4,53.0,2021-05-26 15:15:00,43.775000000000006
85,2021-05-27 09:19:00,34630.05,34700,0,BANKNIFTY27MAY2134700CE,143.05,185.965,2021-05-27 11:27:00,BANKNIFTY27MAY2134600PE,161.7,0.45,2021-05-27 15:15:00,118.33500000000001
86,2021-05-28 09:19:00,35466.05,36500,6,BANKNIFTY03JUN2136500CE,143.15,84.35,2021-05-28 15:15:00,BANKNIFTY03JUN2134200PE,145.7,137.6,2021-05-28 15:15:00,66.9
87,2021-05-31 09:19:00,35269.8,35900,3,BANKNIFTY03JUN2135900CE,140.8,183.04000000000002,2021-05-31 10:10:00,BANKNIFTY03JUN2134400PE,153.45,64.0,2021-05-31 15:15:00,47.20999999999998
